id,query_type1_pubs,query_type2_pubs,query_type3_pubs,query_type4_pubs,query_type5_pubs,query_type6_pubs,no_related_pubs_jdc_website
378,0,1,0,0,1,0,0
379,0,0,0,0,0,0,0
380,2,0,0,2,0,0,1
381,1,0,0,1,0,0,0
382,0,40,3,0,1,1,0
383,0,0,0,2,0,0,0
384,2,932,11,81,7,0,0
385,2,0,0,2,0,0,0
387,10,6,0,0,0,0,0
388,0,1,0,0,0,0,0
389,0,2,0,11,7,1,0
391,0,0,0,0,0,0,0
392,2,141,33,0,0,0,0
393,0,1,0,0,0,0,0
394,0,5,0,0,0,0,0
395,3,5,3,0,0,0,0
396,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0
398,1,2,0,10,6,0,0
399,0,0,0,0,0,0,0
400,2,151,2,0,0,0,0
401,3,243,2,486,821,85,0
402,21,4,0,0,1,0,0
403,0,1,0,42,3,1,0
404,5,4,0,7,0,0,0
405,9,28,2,1,0,0,0
406,0,1,0,44,4,1,0
407,1,0,0,0,0,0,0
408,2,252,3,679,871,77,0
409,4,25,0,1,1,1,0
410,1,129,16,21,20,3,0
411,0,64,1,1,0,0,0
412,0,85,1,0,0,0,0
413,0,70,1,0,0,0,0
414,17,0,0,0,0,0,0
415,0,214,1,0,0,0,0
416,0,1,0,23,5,1,0
417,3,238,1,644,863,69,0
418,5,2,0,6,4,1,0
419,0,12,0,3,15,0,0
420,2,2,0,0,0,0,0
421,0,24,11,13,1,3,0
422,0,0,0,2,0,0,0
423,6,26,6,0,0,0,0
424,0,2,0,0,0,0,0
425,1,6,0,0,2,0,0
426,1,90,9,0,1,1,0
427,0,8,1,4,0,0,0
428,3,132,25,0,0,0,0
429,2,0,1,0,0,0,0
430,2,1,0,0,0,0,0
431,2,0,2,0,0,0,0
432,25,40,8,0,0,0,0
433,21,0,0,0,0,0,0
434,0,8,0,0,8,0,0
436,76,3,0,0,1,0,0
437,20,0,0,117,0,0,0
438,9,5,5,9,5,5,0
439,0,1225,4,0,1225,4,0
440,3,1276,5,3,1276,5,0
441,0,40,0,0,40,0,0
442,0,1139,3,0,1139,3,0
443,0,1076,1,0,1076,1,0
444,0,1076,2,0,1076,2,0
445,0,1228,5,0,1228,5,0
446,2,134,1,2,134,1,0
448,7,0,0,7,0,0,0
449,4,0,0,4,0,0,0
450,5,0,0,5,0,0,0
452,0,1,1,0,0,0,0
454,0,1,1,0,0,0,0
455,0,1,1,0,0,0,0
457,0,0,0,0,0,0,0
458,2,0,0,2,0,0,0
459,0,0,0,0,0,0,0
460,2,0,0,2,0,0,0
461,12,1,0,0,0,0,0
462,13,2,1,0,0,0,0
463,2,0,0,2,0,0,0
464,6,1,1,6,1,1,0
465,6,1,1,6,1,1,0
466,3,0,0,3,0,0,0
467,5,0,0,5,0,0,0
468,0,0,0,0,0,0,0
469,2,0,0,2,0,0,0
470,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0
473,2,0,0,2,0,0,0
474,2,0,0,2,0,0,0
475,2,0,0,2,0,0,0
476,6,3,1,0,0,0,0
477,2,0,0,2,0,0,0
478,3,0,0,1,0,0,0
479,8,0,0,2,0,0,0
480,76,0,0,76,0,0,0
481,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0
486,6,0,0,6,0,0,0
488,0,383,0,0,383,0,0
489,0,413,0,0,413,0,0
490,0,26,0,0,26,0,0
491,0,409,0,0,409,0,0
492,0,530,3,0,530,3,0
493,0,558,3,0,558,3,0
494,0,408,0,0,408,0,0
495,0,538,0,0,538,0,0
496,1,1278,7,1,1278,7,0
497,1,569,1,1,569,1,0
498,0,457,1,0,457,1,0
499,0,0,0,1,1,1,0
500,3,58,4,0,1,0,0
501,0,0,0,0,0,0,0
502,1,0,0,0,0,0,0
503,0,141,2,2,7,2,0
504,0,182,2,0,0,0,0
505,23,127,15,12,6,5,0
506,0,131,0,330,257,4,0
507,7,0,0,0,0,0,0
508,8,0,0,8,0,0,0
509,2,0,0,0,0,0,0
510,12,0,0,12,0,0,0
517,1,0,0,1,0,0,0
518,1,233,3,1,233,3,0
519,2,0,0,2,0,0,0
520,2,0,0,4,0,0,0
521,4068,5,0,8,0,0,0
522,5526,0,0,55,0,0,0
523,32,0,0,0,0,0,0
524,32,0,0,0,0,0,0
525,5,0,0,0,0,0,0
526,1,27,0,1,27,0,0
527,0,26,0,0,26,0,0
528,9,26,0,9,26,0,0
529,0,27,0,0,27,0,0
530,3,25,0,3,25,0,0
531,4,2,0,4,2,0,0
532,0,0,0,0,0,0,0
533,2,29,0,2,29,0,0
534,3,24,0,3,24,0,0
535,3,28,0,3,28,0,0
536,0,0,0,0,0,0,0
537,0,1,0,0,1,0,0
538,0,2,0,0,2,0,0
539,3,4,0,3,4,0,0
540,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0
543,1,0,0,1,0,0,0
544,0,1,0,0,1,0,0
545,7,4,0,7,4,0,0
546,2,6,0,2,6,0,0
547,2,1,0,2,1,0,0
548,0,0,0,0,0,0,0
549,0,1,0,0,1,0,0
550,0,0,0,0,0,0,0
551,0,1,0,0,1,0,0
552,4,5,0,4,5,0,0
553,0,0,0,0,0,0,0
554,4,1,0,4,1,0,0
555,35,0,0,35,0,0,0
556,0,0,0,0,0,0,0
557,2,1,0,2,1,0,0
558,6,3,0,6,3,0,0
559,0,0,0,0,0,0,0
560,3,0,0,3,0,0,0
561,1,0,0,0,0,0,0
562,2,0,0,2,0,0,0
563,0,1,1,0,1,1,0
564,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0
566,9,38,26,0,0,0,0
567,3,0,0,3,0,0,0
568,1,0,0,1,0,0,0
569,14,0,0,0,0,0,0
570,4,0,0,4,0,0,0
571,0,42,0,0,42,0,0
572,0,408,0,0,408,0,0
573,1,569,1,1,569,1,0
574,0,538,0,0,538,0,0
575,0,457,1,0,457,1,0
576,0,402,0,0,402,0,0
577,1,1278,7,1,1278,7,0
578,0,0,0,0,0,0,0
579,0,26,0,0,26,0,0
580,0,409,0,0,409,0,0
581,0,413,0,0,413,0,0
582,2,1,1,4,0,0,0
583,8,0,0,0,0,0,0
584,6,0,0,0,0,0,0
585,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0
587,1,0,0,0,0,0,1
588,3,0,0,3,0,0,0
589,12,0,0,0,0,0,0
590,6,0,0,0,0,0,0
592,2152,3191,150,0,0,0,13
593,2,0,0,2,0,0,0
594,3,18,18,3,18,18,0
595,6,0,0,0,0,0,0
596,6,0,0,3,0,0,0
597,11,18,18,11,18,18,0
598,12,19,19,12,19,19,0
599,43,24,24,43,24,24,0
600,24,21,21,24,21,21,0
601,33,26,26,33,26,26,0
602,15,22,22,15,22,22,0
603,20,22,22,20,22,22,0
604,16,19,19,16,19,19,0
605,13,22,22,13,22,22,0
606,3,851,7,3,853,7,0
607,0,10,0,98,129,1,0
608,4,7,0,1,1,0,0
609,7871,4184,239,1,1,1,0
612,7,2322,19,1,190,3,0
613,1,6,0,4,0,0,0
614,1,6,0,4,0,0,0
615,1,6,0,4,0,0,0
616,1,6,0,0,0,0,0
617,1,6,0,4,0,0,0
618,1,6,0,1,6,0,0
627,5,0,0,5,0,0,0
628,4,0,0,4,0,0,0
631,4,0,0,4,0,0,0
632,4,0,0,4,0,0,0
636,0,0,0,0,0,0,0
637,12,6,1,0,0,0,0
639,0,0,0,0,0,0,13
640,2,0,0,19,0,0,13
641,0,0,0,18,0,0,13
642,3,0,0,3,0,0,0
643,1,0,0,1,0,0,0
644,76,0,0,76,0,0,0
645,0,42,0,0,42,0,0
646,1,569,1,1,569,1,0
647,0,408,0,0,408,0,0
